Alabama,4779745
Alaska,710231
Arizona,6392015
Arkansas,2915919
California,37253956
Colorado,5029196
Connecticut,3574097
Delaware,897934
Florida,18802690
Georgia,9687663
Hawaii,1360301
Idaho,1567652
Illinois,12830632
Indiana,6483800
Iowa,3046857
Kansas,2853116
Kentucky,4339357
Louisiana,4533372
Maine,1328361
Maryland,5773552
Massachusetts,6547629
Michigan,9883635
Minnesota,5303925
Mississippi,2967299
Missouri,5988924
Montana,989417
Nebraska,1826341
Nevada,2700552
New Hampshire,1316469
New Jersey,8791898
New Mexico,2059180
New York,19378104
North Carolina,9535471
North Dakota,672591
Ohio,11536502
Oklahoma,3751354
Oregon,3831073
Pennsylvania,12702379
Rhode Island,1052567
South Carolina,4625364
South Dakota,814180
Tennessee,6346113
Texas,25145561
Utah,2763885
Vermont,625741
Virginia,8001031
Washington,6724543
West Virginia,1852999
Wisconsin,5686986
Wyoming,563626
