Alabama,4911122
Alaska,751321
Arizona,7268568
Arkansas,3038447
California,40438409
Colorado,5843302
Connecticut,3593535
Delaware,987392
Florida,21875807
Georgia,10724915
Hawaii,1453902
Idaho,1777220
Illinois,12790835
Indiana,6737454
Iowa,3184036
Kansas,2936208
Kentucky,4498543
Louisiana,4742858
Maine,1338780
Maryland,6161242
Massachusetts,6982020
Michigan,9992128
Minnesota,5683666
Mississippi,2990190
Missouri,6161472
Montana,1074635
Nebraska,1956882
Nevada,3119203
New Hampshire,1352921
New Jersey,9088051
New Mexico,2099124
New York,20031147
North Carolina,10567933
North Dakota,789405
Ohio,11705175
Oklahoma,4001081
Oregon,4267535
Pennsylvania,12844701
Rhode Island,1062189
South Carolina,5184557
South Dakota,891681
Tennessee,6861778
Texas,29603859
Utah,3240567
Vermont,622868
Virginia,8655014
Washington,7681816
West Virginia,1801962
Wisconsin,5837059
Wyoming,585324
